Player,Team,Opp,Pos,Salary,Own%
Alvin Kamara,NO,DET,RB,"$8,000",27.45%
Ezekiel Elliott,DAL,CLE,RB,"$7,800",23.98%
Mike Davis,CAR,ARI,RB,"$5,700",20.55%
Kenyan Drake,ARI,CAR,RB,"$6,000",15.41%
Joe Mixon,CIN,JAC,RB,"$5,800",12.33%
Darrell Henderson Jr.,LAR,NYG,RB,"$5,800",10.56%
David Johnson,HOU,MIN,RB,"$5,600",10.52%
Chris Carson,SEA,MIA,RB,"$6,300",8.81%
Myles Gaskin,MIA,SEA,RB,"$5,000",8.22%
Dalvin Cook,MIN,HOU,RB,"$7,600",7.97%
Nick Chubb,CLE,DAL,RB,"$7,000",7.35%
Josh Jacobs,LV,BUF,RB,"$6,800",6.96%
Mark Ingram II,BAL,WAS,RB,"$5,700",5.43%
Devin Singletary,BUF,LV,RB,"$5,900",5.28%
Ronald Jones,TB,LAC,RB,"$4,700",4.56%
Zack Moss,BUF,LV,RB,"$4,300",4.50%
Jonathan Taylor,IND,CHI,RB,"$6,600",4.45%
Travis Homer,SEA,MIA,RB,"$4,000",4.42%
Malcolm Brown,LAR,NYG,RB,"$4,700",4.35%
Latavius Murray,NO,DET,RB,"$4,900",4.08%
James Robinson,JAC,CIN,RB,"$6,500",4.05%
J.K. Dobbins,BAL,WAS,RB,"$4,800",3.95%
Chase Edmonds,ARI,CAR,RB,"$4,200",3.32%
Austin Ekeler,LAC,TB,RB,"$7,100",2.97%
Duke Johnson Jr.,HOU,MIN,RB,"$4,000",2.90%
Adrian Peterson,DET,NO,RB,"$4,700",2.66%
Kareem Hunt,CLE,DAL,RB,"$6,200",2.55%
David Montgomery,CHI,IND,RB,"$5,500",1.87%
Antonio Gibson,WAS,BAL,RB,"$4,500",1.85%
D’Andre Swift,DET,NO,RB,"$4,300",1.74%
Kerryon Johnson,DET,NO,RB,"$4,000",1.74%
Giovani Bernard,CIN,JAC,RB,"$4,400",1.72%
Alexander Mattison,MIN,HOU,RB,"$4,000",1.71%
LeSean McCoy,TB,LAC,RB,"$4,000",1.39%
Tony Pollard,DAL,CLE,RB,"$4,100",1.32%
Nyheim Hines,IND,CHI,RB,"$4,700",1.31%
Gus Edwards,BAL,WAS,RB,"$4,000",1.31%
Chris Thompson,JAC,CIN,RB,"$4,100",1.18%
Devonta Freeman,NYG,LAR,RB,"$4,800",1.13%
Dion Lewis,NYG,LAR,RB,"$4,400",0.90%
J.D. McKissic,WAS,BAL,RB,"$4,000",0.85%
Matt Breida,MIA,SEA,RB,"$4,000",0.85%
Joshua Kelley,LAC,TB,RB,"$5,100",0.79%
Devontae Booker,LV,BUF,RB,"$4,000",0.65%
Wayne Gallman Jr.,NYG,LAR,RB,"$4,500",0.61%
Jalen Richard,LV,BUF,RB,"$4,300",0.53%
Jordan Wilkins,IND,CHI,RB,"$4,000",0.33%
Ryan Nall,CHI,IND,RB,"$4,200",0.00%
Jordan Howard,MIA,SEA,RB,"$4,100",0.00%
Reggie Bonnafon,CAR,ARI,RB,"$4,000",0.00%
Alex Armah,CAR,ARI,RB,"$4,000",0.00%
Peyton Barber,WAS,BAL,RB,"$4,000",0.00%
Ke’Shawn Vaughn,TB,LAC,RB,"$4,000",0.00%
Justin Jackson,LAC,TB,RB,"$4,000",0.00%
DeeJay Dallas,SEA,MIA,RB,"$4,000",0.00%
Dare Ogunbowale,JAC,CIN,RB,"$4,000",0.00%
Samaje Perine,CIN,JAC,RB,"$4,000",0.00%
Rico Dowdle,DAL,CLE,RB,"$4,000",0.00%
C.J. Ham,MIN,HOU,RB,"$4,000",0.00%
C.J. Prosise,HOU,MIN,RB,"$4,000",0.00%
Xavier Jones,LAR,NYG,RB,"$4,000",0.00%
Taiwan Jones,BUF,LV,RB,"$4,000",0.00%