,,,,,,,,,,,,,,,
1,,Home,,,,,Away,,,,,Overall,,,
2,,,G,TD'S,Av.,,,G,TD'S,Av.,,,G,TD'S,Av.
3,,Tennessee Titans,2,10,5,,Green Bay Packers,2,9,4.5,,Seattle Seahawks,5,23,4.6
4,,Dallas Cowboys,3,14,4.67,,Seattle Seahawks,2,9,4.5,,Green Bay Packers,4,18,4.5
5,,Seattle Seahawks,3,14,4.67,,Los Angeles Rams,3,13,4.33,,Dallas Cowboys,5,20,4
6,,Green Bay Packers,2,9,4.5,,New Orleans Saints,2,8,4,,Cleveland Browns,5,19,3.8
7,,Tampa Bay Buccaneers,2,9,4.5,,San Francisco 49ers,2,8,4,,Buffalo Bills,5,18,3.6
8,,Buffalo Bills,2,8,4,,Las Vegas Raiders,3,11,3.67,,Kansas City Chiefs,5,18,3.6
9,,Cleveland Browns,3,12,4,,Baltimore Ravens,2,7,3.5,,New Orleans Saints,5,18,3.6
10,,Minnesota Vikings,2,8,4,,Chicago Bears,2,7,3.5,,Pittsburgh Steelers,4,14,3.5
11,,Kansas City Chiefs,3,11,3.67,,Cleveland Browns,2,7,3.5,,Tennessee Titans,4,14,3.5
12,,Pittsburgh Steelers,3,11,3.67,,Kansas City Chiefs,2,7,3.5,,Baltimore Ravens,5,17,3.4
13,,Carolina Panthers,2,7,3.5,,Arizona Cardinals,3,10,3.33,,Las Vegas Raiders,5,17,3.4
14,,New England Patriots,2,7,3.5,,Buffalo Bills,3,10,3.33,,Los Angeles Rams,5,17,3.4
15,,Baltimore Ravens,3,10,3.33,,Atlanta Falcons,2,6,3,,Arizona Cardinals,5,16,3.2
16,,New Orleans Saints,3,10,3.33,,Dallas Cowboys,2,6,3,,Minnesota Vikings,5,16,3.2
17,,Arizona Cardinals,2,6,3,,Denver Broncos,2,6,3,,Tampa Bay Buccaneers,5,16,3.2
18,,Detroit Lions,2,6,3,,Houston Texans,2,6,3,,New England Patriots,4,12,3
19,,Indianapolis Colts,2,6,3,,Los Angeles Chargers,3,9,3,,San Francisco 49ers,5,15,3
20,,Las Vegas Raiders,2,6,3,,Miami Dolphins,3,9,3,,Detroit Lions,4,11,2.75
21,,Jacksonville Jaguars,2,5,2.5,,Philadelphia Eagles,3,9,3,,Atlanta Falcons,5,13,2.6
22,,Atlanta Falcons,3,7,2.33,,Pittsburgh Steelers,1,3,3,,Jacksonville Jaguars,5,13,2.6
23,,San Francisco 49ers,3,7,2.33,,Jacksonville Jaguars,3,8,2.67,,Los Angeles Chargers,5,13,2.6
24,,Cincinnati Bengals,2,4,2,,Minnesota Vikings,3,8,2.67,,Miami Dolphins,5,13,2.6
25,,Houston Texans,3,6,2,,Detroit Lions,2,5,2.5,,Philadelphia Eagles,5,13,2.6
26,,Los Angeles Chargers,2,4,2,,New England Patriots,2,5,2.5,,Carolina Panthers,5,12,2.4
27,,Los Angeles Rams,2,4,2,,Washington,2,5,2.5,,Chicago Bears,5,12,2.4
28,,Miami Dolphins,2,4,2,,Tampa Bay Buccaneers,3,7,2.33,,Houston Texans,5,12,2.4
29,,Philadelphia Eagles,2,4,2,,Tennessee Titans,2,4,2,,Denver Broncos,4,9,2.25
30,,Washington,3,6,2,,Carolina Panthers,3,5,1.67,,Indianapolis Colts,5,11,2.2
31,,Chicago Bears,3,5,1.67,,Cincinnati Bengals,3,5,1.67,,Washington,5,11,2.2
32,,Denver Broncos,2,3,1.5,,Indianapolis Colts,3,5,1.67,,Cincinnati Bengals,5,9,1.8
33,,New York Jets,3,4,1.33,,New York Jets,2,3,1.5,,New York Jets,5,7,1.4
34,,New York Giants,2,2,1,,New York Giants,3,4,1.33,,New York Giants,5,6,1.2
35,,,,,,,,,,,,,,,